
=== Imprimindo Tabela ===
[322] - Lista vazia!	 Numero de repeticoes: [0]
[323] - Lista vazia!	 Numero de repeticoes: [0]
[324] - Lista vazia!	 Numero de repeticoes: [0]
[325] - Lista vazia!	 Numero de repeticoes: [0]
[326] - Lista vazia!	 Numero de repeticoes: [0]
[327] - Lista vazia!	 Numero de repeticoes: [0]
[328] - Lista vazia!	 Numero de repeticoes: [0]
[329] - Lista vazia!	 Numero de repeticoes: [0]
[330] - Lista vazia!	 Numero de repeticoes: [0]
[331] - Lista vazia!	 Numero de repeticoes: [0]
[332] - Lista vazia!	 Numero de repeticoes: [0]
[333] - Lista vazia!	 Numero de repeticoes: [0]
[334] - Lista vazia!	 Numero de repeticoes: [0]
[335] - Lista vazia!	 Numero de repeticoes: [0]
[336] - Lista vazia!	 Numero de repeticoes: [0]
[337] - Lista vazia!	 Numero de repeticoes: [0]
[338] - Lista vazia!	 Numero de repeticoes: [0]
[339] - Lista vazia!	 Numero de repeticoes: [0]
[340] - Lista vazia!	 Numero de repeticoes: [0]
[341] - Lista vazia!	 Numero de repeticoes: [0]
[342] - Lista vazia!	 Numero de repeticoes: [0]
[343] - Lista vazia!	 Numero de repeticoes: [0]
[344] - Lista vazia!	 Numero de repeticoes: [0]
[345] - Lista vazia!	 Numero de repeticoes: [0]
[346] - Lista vazia!	 Numero de repeticoes: [0]
[347] - Lista vazia!	 Numero de repeticoes: [0]
[348] - Lista vazia!	 Numero de repeticoes: [0]
[349] - Lista vazia!	 Numero de repeticoes: [0]
[350] - Lista vazia!	 Numero de repeticoes: [0]
[351] - Lista vazia!	 Numero de repeticoes: [0]
[352] - Lista vazia!	 Numero de repeticoes: [0]
[353] - Lista vazia!	 Numero de repeticoes: [0]
[354] - Lista vazia!	 Numero de repeticoes: [0]
[355] - Lista vazia!	 Numero de repeticoes: [0]
[356] - Lista vazia!	 Numero de repeticoes: [0]
[357] - Lista vazia!	 Numero de repeticoes: [0]
[358] - Lista vazia!	 Numero de repeticoes: [0]
[359] - Lista vazia!	 Numero de repeticoes: [0]
[360] - Lista vazia!	 Numero de repeticoes: [0]
[361] - Lista vazia!	 Numero de repeticoes: [0]
[362] - Lista vazia!	 Numero de repeticoes: [0]
[363] - Lista vazia!	 Numero de repeticoes: [0]
[364] - Lista vazia!	 Numero de repeticoes: [0]
[365] - Lista vazia!	 Numero de repeticoes: [0]
[366] - Lista vazia!	 Numero de repeticoes: [0]
[367] - Lista vazia!	 Numero de repeticoes: [0]
[368] - Lista vazia!	 Numero de repeticoes: [0]
[369] - Lista vazia!	 Numero de repeticoes: [0]
[370] - Lista vazia!	 Numero de repeticoes: [0]
[371] - Lista vazia!	 Numero de repeticoes: [0]
[372] - Lista vazia!	 Numero de repeticoes: [0]
[373] - Lista vazia!	 Numero de repeticoes: [0]
[374] - Lista vazia!	 Numero de repeticoes: [0]
[375] - Lista vazia!	 Numero de repeticoes: [0]
[376] - Lista vazia!	 Numero de repeticoes: [0]
[377] - Lista vazia!	 Numero de repeticoes: [0]
[378] - Lista vazia!	 Numero de repeticoes: [0]
[379] - Lista vazia!	 Numero de repeticoes: [0]
[380] - Lista vazia!	 Numero de repeticoes: [0]
[381] - Lista vazia!	 Numero de repeticoes: [0]
[382] - Lista vazia!	 Numero de repeticoes: [0]
[383] - Lista vazia!	 Numero de repeticoes: [0]
[384] - Lista vazia!	 Numero de repeticoes: [0]
[385] - Lista vazia!	 Numero de repeticoes: [0]
[386] - Lista vazia!	 Numero de repeticoes: [0]
[387] - Lista vazia!	 Numero de repeticoes: [0]
[388] - Lista vazia!	 Numero de repeticoes: [0]
[389] - Lista vazia!	 Numero de repeticoes: [0]
[390] - Lista vazia!	 Numero de repeticoes: [0]
[391] - Lista vazia!	 Numero de repeticoes: [0]
[392] - Lista vazia!	 Numero de repeticoes: [0]
[393] - Lista vazia!	 Numero de repeticoes: [0]
[394] - Lista vazia!	 Numero de repeticoes: [0]
[395] - Lista vazia!	 Numero de repeticoes: [0]
[396] - Lista vazia!	 Numero de repeticoes: [0]
[397] - Lista vazia!	 Numero de repeticoes: [0]
[398] - Lista vazia!	 Numero de repeticoes: [0]
[399] - Lista vazia!	 Numero de repeticoes: [0]
[400] - Lista vazia!	 Numero de repeticoes: [0]
[401] - Lista vazia!	 Numero de repeticoes: [0]
[402] - Lista vazia!	 Numero de repeticoes: [0]
[403] - Lista vazia!	 Numero de repeticoes: [0]
[404] - Lista vazia!	 Numero de repeticoes: [0]
[405] - Lista vazia!	 Numero de repeticoes: [0]
[406] - Lista vazia!	 Numero de repeticoes: [0]
[407] - Lista vazia!	 Numero de repeticoes: [0]
[408] - Lista vazia!	 Numero de repeticoes: [0]
[409] - Lista vazia!	 Numero de repeticoes: [0]
[410] - Lista vazia!	 Numero de repeticoes: [0]
[411] - Lista vazia!	 Numero de repeticoes: [0]
[412] - Lista vazia!	 Numero de repeticoes: [0]
[413] - Lista vazia!	 Numero de repeticoes: [0]
[414] - Lista vazia!	 Numero de repeticoes: [0]
[415] - Lista vazia!	 Numero de repeticoes: [0]
[416] - Lista vazia!	 Numero de repeticoes: [0]
[417] - Lista vazia!	 Numero de repeticoes: [0]
[418] - Lista vazia!	 Numero de repeticoes: [0]
[419] - Lista vazia!	 Numero de repeticoes: [0]
[420] - Lista vazia!	 Numero de repeticoes: [0]
[421] - Lista vazia!	 Numero de repeticoes: [0]
[422] - Lista vazia!	 Numero de repeticoes: [0]
[423] - Lista vazia!	 Numero de repeticoes: [0]
[424] - Lista vazia!	 Numero de repeticoes: [0]
[425] - Lista vazia!	 Numero de repeticoes: [0]
[426] - Lista vazia!	 Numero de repeticoes: [0]
[427] - Lista vazia!	 Numero de repeticoes: [0]
[428] - Lista vazia!	 Numero de repeticoes: [0]
[429] - Lista vazia!	 Numero de repeticoes: [0]
[430] - Lista vazia!	 Numero de repeticoes: [0]
[431] - Lista vazia!	 Numero de repeticoes: [0]
[432] - Lista vazia!	 Numero de repeticoes: [0]
[433] - Lista vazia!	 Numero de repeticoes: [0]
[434] - Lista vazia!	 Numero de repeticoes: [0]
[435] - Lista vazia!	 Numero de repeticoes: [0]
[436] - Lista vazia!	 Numero de repeticoes: [0]
[437] - Lista vazia!	 Numero de repeticoes: [0]
[438] - Lista vazia!	 Numero de repeticoes: [0]
[439] - Lista vazia!	 Numero de repeticoes: [0]
[440] - Lista vazia!	 Numero de repeticoes: [0]
[441] - Lista vazia!	 Numero de repeticoes: [0]
[442] - Lista vazia!	 Numero de repeticoes: [0]
[443] - Lista vazia!	 Numero de repeticoes: [0]
[444] - Lista vazia!	 Numero de repeticoes: [0]
[445] - Lista vazia!	 Numero de repeticoes: [0]
[446] - Lista vazia!	 Numero de repeticoes: [0]
[447] - Lista vazia!	 Numero de repeticoes: [0]
[448] - Lista vazia!	 Numero de repeticoes: [0]
[449] - Lista vazia!	 Numero de repeticoes: [0]
[450] - Lista vazia!	 Numero de repeticoes: [0]
[451] - Lista vazia!	 Numero de repeticoes: [0]
[452] - Lista vazia!	 Numero de repeticoes: [0]
[453] - Lista vazia!	 Numero de repeticoes: [0]
[454] - Lista vazia!	 Numero de repeticoes: [0]
[455] - Lista vazia!	 Numero de repeticoes: [0]
[456] - Lista vazia!	 Numero de repeticoes: [0]
[457] - Lista vazia!	 Numero de repeticoes: [0]
[458] - Lista vazia!	 Numero de repeticoes: [0]
[459] - Lista vazia!	 Numero de repeticoes: [0]
[460] - Lista vazia!	 Numero de repeticoes: [0]
[461] - Lista vazia!	 Numero de repeticoes: [0]
[462] - Lista vazia!	 Numero de repeticoes: [0]
[463] - Lista vazia!	 Numero de repeticoes: [0]
[464] - Lista vazia!	 Numero de repeticoes: [0]
[465] - Lista vazia!	 Numero de repeticoes: [0]
[466] - Lista vazia!	 Numero de repeticoes: [0]
[467] - Lista vazia!	 Numero de repeticoes: [0]
[468] - Lista vazia!	 Numero de repeticoes: [0]
[469] - Lista vazia!	 Numero de repeticoes: [0]
[470] - Lista vazia!	 Numero de repeticoes: [0]
[471] - Lista vazia!	 Numero de repeticoes: [0]
[472] - Lista vazia!	 Numero de repeticoes: [0]
[473] - Lista vazia!	 Numero de repeticoes: [0]
[474] - Lista vazia!	 Numero de repeticoes: [0]
[475] - Lista vazia!	 Numero de repeticoes: [0]
[476] - Lista vazia!	 Numero de repeticoes: [0]
[477] - Lista vazia!	 Numero de repeticoes: [0]
[478] - Lista vazia!	 Numero de repeticoes: [0]
[479] - Lista vazia!	 Numero de repeticoes: [0]
[480] - Lista vazia!	 Numero de repeticoes: [0]
[481] - Lista vazia!	 Numero de repeticoes: [0]
[482] - Lista vazia!	 Numero de repeticoes: [0]
[483] - Lista vazia!	 Numero de repeticoes: [0]
[484] - Lista vazia!	 Numero de repeticoes: [0]
[485] - Lista vazia!	 Numero de repeticoes: [0]
[486] - Lista vazia!	 Numero de repeticoes: [0]
[487] - Lista vazia!	 Numero de repeticoes: [0]
[488] - Lista vazia!	 Numero de repeticoes: [0]
[489] - Lista vazia!	 Numero de repeticoes: [0]
[490] - Lista vazia!	 Numero de repeticoes: [0]
[491] - Lista vazia!	 Numero de repeticoes: [0]
[492] - Lista vazia!	 Numero de repeticoes: [0]
[493] - Lista vazia!	 Numero de repeticoes: [0]
[494] - Lista vazia!	 Numero de repeticoes: [0]
[495] - Lista vazia!	 Numero de repeticoes: [0]
[496] - Lista vazia!	 Numero de repeticoes: [0]
[497] - Lista vazia!	 Numero de repeticoes: [0]
[498] - Lista vazia!	 Numero de repeticoes: [0]
[499] - Lista vazia!	 Numero de repeticoes: [0]
[500] - Lista vazia!	 Numero de repeticoes: [0]
[501] - Lista vazia!	 Numero de repeticoes: [0]
[502] - Lista vazia!	 Numero de repeticoes: [0]
[503] - Lista vazia!	 Numero de repeticoes: [0]
[504] - Lista vazia!	 Numero de repeticoes: [0]
[505] - Lista vazia!	 Numero de repeticoes: [0]
[506] - Lista vazia!	 Numero de repeticoes: [0]
[507] - Lista vazia!	 Numero de repeticoes: [0]
[508] - Lista vazia!	 Numero de repeticoes: [0]
[509] - Lista vazia!	 Numero de repeticoes: [0]
[510] - Lista vazia!	 Numero de repeticoes: [0]
[511] - Lista vazia!	 Numero de repeticoes: [0]
[512] - Lista vazia!	 Numero de repeticoes: [0]
[513] - Lista vazia!	 Numero de repeticoes: [0]
[514] - Lista vazia!	 Numero de repeticoes: [0]
